Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh)
Canada,2000,5406.65,29311.16,14.11,13.65,31.47,31.75,1495.14,0.06
UK,2024,5197.89,48168.38,15.12,49.44,46.42,10.19,893.28,0.47
India,2001,515.98,39880.44,7.76,39.25,55.59,10.68,3417.45,0.38
India,2012,787.23,35189.19,50.3,35.27,46.8,30.84,1840.47,0.06
Canada,2000,173.46,3482.74,62.11,77.05,30.64,18.36,1547.1,0.36
China,2023,9141.12,5833.24,15.77,41.98,40.31,11.76,853.59,0.11
USA,2023,4143.03,39349.46,57.01,60.36,45.9,18.58,2698.89,0.38
Japan,2003,4738.76,10312.78,55.81,77.7,25.41,35.14,2962.11,0.28
Japan,2023,8469.33,1927.34,17.5,20.57,41.8,24.12,2243.18,0.49
Canada,2022,6131.54,45582.65,39.35,13.82,38.87,28.47,109.57,0.24
Canada,2001,6134.07,44594.87,69.19,31.95,33.47,34.02,2483.78,0.39
India,2020,3035.69,11314.95,6.42,13.11,44.94,19.7,1396.22,0.07
UK,2019,8355.69,39120.21,17.49,18.17,45.45,10.33,736.28,0.47
China,2015,1741.72,2874.99,89.65,79.42,58.86,19.7,2908.97,0.3
Canada,2002,626.18,14610.37,67.35,77.21,37.13,38.7,3372.61,0.19
Japan,2016,1996.87,31371.51,44.45,58.39,41.25,24.47,2617.91,0.11
USA,2004,2750.6,38277.36,58.53,62.71,26.3,27.09,3090.76,0.34
Germany,2007,2894.88,1014.76,76.93,19.83,41.93,32.81,3052.45,0.39
Australia,2011,6738.08,16647.33,76.6,51.67,21.44,13.45,664.99,0.09
Canada,2024,2256.46,11110.11,32.6,20.81,26.0,32.02,1118.26,0.12
UK,2022,6798.92,49939.63,46.76,36.49,26.85,18.93,96.95,0.22
Canada,2011,1002.21,33713.62,59.23,34.17,45.31,21.64,4910.42,0.43
UK,2000,1557.3,20580.74,11.11,52.98,42.69,18.08,1095.57,0.49
China,2000,5137.33,4244.8,85.39,15.58,51.92,14.61,4082.79,0.39
Germany,2014,9226.77,30134.18,41.78,17.24,38.58,20.84,3917.11,0.05
Brazil,2016,8609.72,32264.22,36.52,52.7,38.99,12.84,3539.81,0.46
USA,2001,9690.66,40912.09,82.1,54.53,26.46,35.34,2276.25,0.06
USA,2016,6539.74,14784.55,15.05,33.79,49.71,19.18,2940.14,0.45
UK,2019,6790.57,49080.69,8.34,20.28,20.15,29.61,972.36,0.23
India,2008,6287.73,22253.55,63.23,72.03,37.0,18.9,575.2,0.38
UK,2011,6265.91,15149.22,37.73,13.71,27.53,16.32,1791.22,0.09
India,2003,1556.49,17748.24,69.98,60.22,50.84,31.41,4136.65,0.12
Russia,2012,5483.02,26219.51,10.83,19.8,46.94,28.72,2841.93,0.25
Japan,2003,3922.07,46866.73,37.62,54.62,48.27,16.54,3831.12,0.07
USA,2006,4481.12,36890.36,25.0,56.46,25.94,28.36,4457.11,0.23
China,2013,5283.65,29066.93,67.87,66.3,46.75,10.15,2824.66,0.39
UK,2008,1371.12,8559.11,24.31,37.65,47.64,15.31,1868.04,0.34
China,2022,3658.93,7892.99,43.93,11.53,20.11,31.83,4285.61,0.21
Germany,2000,728.15,25358.75,74.6,66.77,32.7,22.3,1186.67,0.05
China,2000,9798.71,36571.08,82.81,41.08,23.49,16.11,172.59,0.17
Canada,2019,1273.43,37675.1,66.42,69.3,47.26,25.18,300.83,0.4
Japan,2003,2659.39,11682.76,41.48,64.32,28.48,23.96,2932.08,0.2
Canada,2000,8923.8,5454.93,53.62,44.88,30.59,29.02,4467.07,0.22
Australia,2021,4878.83,19530.82,63.62,79.96,23.13,12.18,2843.17,0.08
UK,2009,1442.81,45949.54,79.37,42.35,39.35,34.58,2075.51,0.32
USA,2001,3903.88,27495.68,80.53,58.76,21.32,11.75,2906.49,0.33
UK,2020,1247.09,16344.94,84.13,56.89,53.82,23.62,3371.96,0.24
Japan,2023,2082.14,16520.06,73.91,46.26,21.05,31.31,3804.57,0.39
Brazil,2014,615.1,7038.31,17.48,50.97,22.47,20.34,1769.15,0.44
Brazil,2002,4438.45,23924.57,68.55,65.9,45.62,37.3,1965.12,0.39
Australia,2024,8085.7,39672.45,74.24,50.01,56.68,32.66,167.02,0.29
Japan,2022,5901.09,48443.66,79.62,41.51,55.68,22.78,3265.66,0.47
Russia,2008,6102.82,25328.95,83.61,56.35,23.35,15.51,3894.82,0.22
Russia,2016,2085.78,8777.14,48.28,12.49,31.54,11.3,2578.98,0.34
Russia,2020,3504.55,34306.04,60.68,17.64,40.84,34.05,1913.92,0.31
USA,2012,8467.9,37961.17,5.81,18.78,21.06,15.83,1699.1,0.43
USA,2002,969.78,4049.14,53.69,39.8,41.15,18.09,3242.94,0.27
Russia,2003,8593.51,42581.89,45.22,71.02,37.91,10.31,1687.21,0.3
Brazil,2003,4888.53,41551.46,86.8,55.03,43.54,10.55,3015.44,0.25
Japan,2010,8387.76,23890.78,81.65,78.08,56.81,16.91,4638.49,0.11
China,2006,3248.26,28240.91,72.8,12.8,30.98,36.19,1686.55,0.45
Japan,2010,3454.55,35813.7,9.84,60.54,45.56,33.42,388.13,0.44
Russia,2023,7540.89,33999.03,39.17,31.99,37.19,33.1,4376.35,0.37
Japan,2010,7871.46,1318.53,64.16,11.63,37.41,34.81,1404.08,0.21
Germany,2009,2373.48,6560.55,7.52,67.81,45.89,15.6,4943.4,0.21
USA,2004,9731.43,8548.23,25.04,21.39,58.05,39.37,4208.6,0.07
USA,2012,936.45,37905.96,80.44,24.99,54.52,16.97,2163.13,0.08
Brazil,2011,778.18,22284.14,16.03,33.83,45.58,14.5,3159.57,0.28
China,2009,5995.49,27502.38,9.37,65.18,38.46,18.84,1423.82,0.07
Russia,2006,7255.13,38748.03,54.35,53.72,36.96,25.91,466.65,0.09
UK,2018,9612.77,17378.62,85.45,28.54,51.49,13.73,2652.73,0.16
Brazil,2018,4108.96,37570.07,75.94,21.79,28.73,32.16,2152.12,0.22
Brazil,2018,350.38,22393.81,87.86,17.67,43.51,21.15,4851.09,0.27
China,2011,6068.67,19170.42,69.05,20.49,40.2,27.05,3007.39,0.2
Canada,2019,2967.99,16985.34,42.18,70.77,45.97,32.03,3748.38,0.47
Russia,2021,4386.18,48264.77,85.46,74.59,27.5,37.06,719.46,0.48
UK,2014,4935.85,38712.68,41.26,77.76,47.83,34.58,3632.15,0.08
USA,2004,738.67,1499.7,34.76,68.43,45.08,26.12,328.84,0.49
China,2023,4911.22,47892.07,43.1,72.12,27.21,39.74,3084.64,0.13
UK,2013,4320.56,38884.26,74.19,67.13,37.98,25.89,4200.81,0.2
Germany,2011,7154.19,7884.15,83.0,77.06,47.14,26.08,2441.17,0.43
Brazil,2020,6492.09,4278.74,35.4,69.2,56.06,14.75,1114.66,0.36
China,2010,1933.64,15755.61,44.29,42.34,24.88,14.46,2246.32,0.08
USA,2004,2140.78,31396.99,81.36,32.63,20.35,15.06,4213.55,0.4
Japan,2015,2584.96,31019.06,9.0,50.89,26.61,27.75,3586.24,0.35
USA,2017,1871.61,14154.58,71.63,52.57,59.57,22.46,3046.95,0.48
Germany,2011,6606.41,22560.91,43.61,50.24,50.73,21.58,3484.49,0.46
China,2004,9944.86,10988.56,37.0,59.47,44.57,13.83,4179.27,0.49
Germany,2015,6555.87,3003.64,42.99,58.93,25.32,21.43,801.72,0.25
Russia,2011,6106.15,26090.04,40.59,16.1,36.64,21.34,4217.52,0.37
Russia,2022,4158.29,17676.06,69.31,29.99,48.61,28.62,4042.61,0.48
Japan,2001,3194.54,27372.68,83.88,72.29,55.84,21.65,2413.57,0.05
Brazil,2005,9119.63,47352.11,46.77,51.3,35.27,22.56,2044.26,0.41
Canada,2022,9693.12,7596.83,75.78,33.0,59.99,18.18,4666.16,0.07
India,2020,5018.08,597.12,67.22,69.53,25.59,13.95,4106.12,0.5
UK,2024,2972.98,4305.47,33.11,27.43,35.48,19.0,4943.9,0.06
Germany,2003,7724.21,23404.06,54.92,38.64,55.02,11.28,3226.68,0.3
UK,2012,1411.32,35493.14,61.68,29.34,46.0,16.11,206.06,0.28
Japan,2009,7679.32,29247.8,7.0,70.99,52.44,19.75,811.73,0.19
UK,2016,8207.59,24997.28,38.66,60.98,56.31,14.37,4110.55,0.38
UK,2013,1336.55,18021.17,89.37,42.22,40.29,29.95,3213.01,0.17
USA,2023,9770.93,15843.72,59.17,75.26,29.39,18.42,1030.33,0.18
China,2014,9856.57,19126.17,33.41,74.92,47.75,28.47,109.1,0.13
Brazil,2007,9373.52,30775.93,26.25,59.81,42.54,29.32,1351.29,0.37
India,2022,5010.74,8803.82,22.81,72.44,50.91,23.42,730.94,0.13
China,2023,2536.13,38682.42,39.14,60.36,40.47,23.47,4387.34,0.45
USA,2017,5861.89,28975.04,21.43,53.97,52.44,27.44,4419.79,0.18
UK,2002,4257.35,13823.24,16.49,39.45,56.08,17.87,4219.55,0.28
India,2024,2138.89,25307.07,35.95,29.14,49.98,10.64,518.3,0.26
USA,2016,4294.4,48157.55,56.59,14.22,49.75,29.35,718.47,0.37
USA,2023,6672.51,1514.33,17.44,66.06,43.49,28.26,720.83,0.16
USA,2023,802.04,10376.37,8.77,18.55,38.87,24.29,1329.16,0.43
Russia,2006,3400.84,22694.82,7.94,38.72,58.9,36.27,410.78,0.38
India,2012,276.17,32102.77,27.73,26.42,45.8,25.26,4908.75,0.2
USA,2015,7520.01,11005.3,21.16,41.82,53.61,19.1,4283.02,0.1
Canada,2004,6442.84,46604.5,50.84,32.05,40.22,31.41,392.48,0.28
UK,2003,720.45,32307.31,43.74,68.08,42.19,38.87,761.19,0.49
India,2009,9650.9,43932.88,32.61,78.47,46.52,32.11,1348.47,0.06
Russia,2012,323.95,16801.24,75.85,75.91,49.14,37.27,3886.32,0.43
Germany,2009,5940.61,41533.22,47.92,53.57,37.93,13.38,3584.78,0.36
Germany,2013,7786.04,19221.85,12.78,78.55,34.25,13.63,3170.98,0.13
Brazil,2021,7900.17,13011.21,30.14,38.05,29.58,14.64,4565.36,0.26
Australia,2011,439.42,45626.94,87.73,46.57,36.95,31.09,229.62,0.33
Canada,2000,9073.51,5064.81,88.04,27.98,28.45,21.69,848.38,0.36
Germany,2020,9192.67,47173.0,26.65,72.86,36.67,24.33,989.59,0.46
Russia,2019,5657.76,23196.5,19.22,22.58,54.99,17.86,345.26,0.44
Australia,2019,4872.62,49634.96,47.13,52.73,59.08,32.08,3110.52,0.2
USA,2006,544.19,27209.94,45.92,65.96,43.08,35.36,1088.01,0.1
USA,2008,5663.35,37995.66,39.86,51.68,25.84,14.81,2439.05,0.1
Japan,2007,4152.85,850.02,50.0,15.51,37.1,15.78,3442.9,0.49
UK,2012,7750.78,25085.01,24.74,52.8,44.08,20.18,2997.3,0.48
Australia,2013,4098.45,37003.95,14.77,63.7,34.83,18.4,1486.16,0.42
UK,2011,6867.45,39249.94,53.49,23.15,28.21,25.95,2100.17,0.49
Russia,2007,1103.94,8323.4,84.27,61.59,29.07,32.58,1732.13,0.17
Canada,2020,1416.23,21239.06,16.71,71.5,38.96,33.8,4269.69,0.42
Australia,2021,1483.13,21244.06,64.91,79.05,28.66,16.25,2128.66,0.28
Germany,2017,550.7,5630.22,42.22,38.7,29.98,15.27,355.26,0.41
Canada,2015,5459.16,22430.75,29.99,11.76,54.92,20.91,3115.83,0.32
Japan,2010,7960.28,40451.1,77.51,39.34,51.16,14.43,1028.52,0.43
UK,2015,6143.07,15358.95,43.8,56.22,22.21,12.75,1726.22,0.23
UK,2013,5792.05,21912.44,54.58,72.4,32.81,17.28,1672.11,0.5
Canada,2002,6838.18,48067.45,42.66,75.67,41.28,21.82,408.5,0.15
USA,2020,3462.49,2069.55,11.91,73.67,22.42,27.64,4757.19,0.35
UK,2001,3683.35,29780.33,55.57,56.06,47.33,31.7,2757.97,0.41
Japan,2002,3211.27,37300.09,40.6,57.78,35.38,16.68,823.44,0.31
Germany,2003,7149.88,38163.68,12.37,10.17,35.89,34.56,2800.99,0.18
India,2021,1700.24,35938.93,55.64,35.46,30.61,11.01,2285.3,0.3
Germany,2004,228.95,36459.35,5.84,73.48,33.36,23.32,1757.1,0.28
Germany,2009,6002.34,3421.13,22.72,58.27,54.47,28.99,2388.73,0.14
UK,2019,9429.58,26939.76,71.39,42.75,51.54,18.74,3364.62,0.39
China,2001,6133.14,39256.97,8.22,17.3,57.43,30.51,1037.64,0.17
USA,2011,7850.92,5156.22,59.97,27.24,47.96,36.01,2712.51,0.42
UK,2004,6760.63,1096.47,85.73,48.84,43.11,12.68,4074.3,0.15
USA,2004,5024.62,40820.81,19.55,72.83,30.37,25.38,1151.33,0.28
Russia,2022,7212.08,35758.57,40.45,16.71,46.67,10.56,2601.88,0.36
China,2000,8258.63,20904.22,53.92,20.76,56.25,18.39,4830.38,0.5
UK,2003,2324.84,47049.62,43.29,55.85,22.77,14.11,4012.5,0.17
Brazil,2020,3427.69,38446.61,57.73,30.59,37.72,28.73,2985.44,0.34
Germany,2023,2314.88,48409.12,39.35,21.88,25.97,17.46,3758.11,0.12
Russia,2011,4576.51,46501.11,17.62,22.49,52.42,18.47,2651.87,0.42
China,2011,8862.14,24324.03,12.57,44.48,44.56,16.17,4933.51,0.44
UK,2015,3517.55,37858.09,68.28,50.86,55.19,17.31,887.44,0.45
Japan,2023,3807.22,33624.97,25.28,73.3,22.52,16.75,3611.92,0.48
Canada,2016,8617.64,40666.54,77.03,47.09,56.23,30.94,79.47,0.21
Canada,2020,5202.21,39490.58,68.16,58.39,22.69,38.67,672.19,0.35
USA,2009,5400.95,8084.98,9.2,22.65,31.5,24.71,3622.97,0.19
China,2016,8621.93,12069.91,22.1,59.94,26.25,28.01,3808.77,0.41
Germany,2016,4956.21,13653.71,29.82,55.41,25.82,34.54,245.02,0.24
Germany,2017,6847.42,41015.68,55.53,25.13,26.87,24.28,1702.6,0.3
India,2001,947.88,40631.71,73.84,56.86,39.21,19.06,635.04,0.11
Canada,2024,1868.45,25019.1,10.13,24.8,51.37,38.53,4456.21,0.43
Russia,2003,4103.32,29251.2,26.22,51.55,55.93,37.18,2296.72,0.27
China,2018,4998.91,41432.65,36.98,56.82,42.68,16.61,2240.55,0.34
Germany,2010,9660.76,15973.38,20.59,58.53,26.31,31.09,4128.15,0.35
India,2016,9709.45,2983.85,51.35,73.65,23.17,29.41,3492.08,0.17
China,2011,8526.85,24388.52,45.63,76.35,39.77,29.49,4615.35,0.41
Australia,2001,3224.43,45729.0,31.9,66.71,50.62,34.92,4696.37,0.42
Germany,2005,9643.88,39628.18,48.94,71.51,44.81,30.22,1600.31,0.28
Australia,2008,6924.47,18647.56,35.24,11.35,43.31,25.54,3259.47,0.46
China,2004,3990.11,3706.18,34.17,35.39,21.93,35.38,2731.86,0.12
Germany,2019,7046.58,32027.52,27.56,12.78,36.46,17.95,2999.28,0.24
Australia,2020,263.58,41807.29,50.94,25.74,42.02,30.38,3145.28,0.07
Brazil,2008,1546.93,33414.95,42.75,36.72,43.93,31.05,347.1,0.23
India,2022,8313.89,21541.2,21.69,70.73,20.19,36.11,4480.58,0.5
Russia,2007,6491.18,6606.0,6.1,45.82,27.98,39.95,744.38,0.26
Canada,2019,3705.53,45583.33,17.83,55.42,57.99,26.73,2150.94,0.24
India,2007,5056.6,14159.94,8.64,35.4,40.35,24.53,1495.79,0.36
Australia,2021,9060.91,11602.21,41.69,52.2,48.15,28.02,2791.05,0.07
Germany,2020,6352.62,40890.84,24.13,67.09,32.33,29.76,4809.37,0.21
Brazil,2022,4041.68,49070.39,40.74,31.09,43.41,31.39,2091.5,0.29
Brazil,2005,1291.23,33177.93,33.0,75.26,34.26,18.44,3035.76,0.27
Canada,2002,3008.09,31428.12,50.73,24.93,31.88,24.61,748.66,0.34
Brazil,2004,9785.57,16311.83,66.53,74.35,36.46,21.13,2341.94,0.11
India,2008,4429.89,1510.47,45.74,11.98,38.39,11.16,4583.13,0.23
UK,2006,4771.21,9993.99,10.27,47.99,33.25,28.29,4665.44,0.34
Brazil,2003,5036.12,29429.31,6.49,78.96,30.32,36.24,2754.83,0.19
Canada,2006,8852.63,7990.16,23.12,52.68,44.95,37.64,3854.52,0.33
Brazil,2004,6078.89,44249.87,41.12,48.84,35.23,25.52,65.93,0.48
Brazil,2010,6967.4,9813.16,8.82,57.77,28.07,32.98,2680.95,0.47
Japan,2014,3955.19,26344.17,32.86,30.25,50.33,31.37,3675.72,0.38
India,2001,387.97,25844.66,80.4,13.77,48.95,16.87,1682.84,0.13
Australia,2012,9316.63,30395.31,12.65,27.57,55.47,11.89,4510.72,0.4
USA,2021,9496.36,16707.99,85.62,22.34,42.2,32.44,3909.16,0.25
UK,2015,9496.62,43739.94,77.82,74.65,31.18,18.48,3860.0,0.48
Brazil,2006,9442.5,22492.93,75.7,69.66,54.55,26.48,155.11,0.33
Russia,2007,8170.9,35157.6,78.41,32.24,31.21,25.72,960.22,0.15
Brazil,2005,6877.5,31977.59,11.8,68.52,46.22,34.54,3582.35,0.19
Japan,2023,8460.65,6299.23,17.85,24.82,27.62,29.34,2830.52,0.19
Australia,2006,6045.41,31320.65,16.42,23.97,45.17,35.41,2913.4,0.17
Russia,2017,1430.26,27759.78,14.46,63.73,53.63,32.57,123.31,0.4
UK,2021,3973.06,44980.9,32.86,32.89,41.6,39.99,2238.17,0.2
Russia,2024,9715.82,44103.39,75.57,14.54,38.84,35.92,3942.85,0.14
India,2021,3576.26,7972.26,26.42,60.4,59.74,16.33,3334.61,0.32
Canada,2019,8691.5,4543.41,25.76,79.27,20.9,38.84,2883.52,0.26
Canada,2006,1022.79,15082.31,62.45,49.62,33.27,20.2,3498.16,0.06
UK,2002,3408.42,49337.34,13.24,28.46,56.74,28.24,4262.37,0.18
Australia,2004,3574.44,1567.9,35.62,36.1,45.71,38.24,4255.18,0.07
Canada,2000,610.87,33808.17,30.11,55.41,41.68,16.42,2307.32,0.4
China,2014,1279.03,30621.43,77.02,59.1,45.51,35.72,1573.59,0.48
Japan,2002,2012.34,32505.62,48.73,72.04,32.88,38.59,1863.57,0.28
UK,2007,8394.37,11305.15,59.95,73.62,22.85,35.61,2630.82,0.3
UK,2024,727.68,11722.51,15.97,70.29,31.01,34.58,492.37,0.43
USA,2008,3057.14,21816.78,83.96,55.39,33.46,17.94,2975.41,0.06
USA,2014,200.73,5244.96,32.41,41.49,39.19,22.21,2293.63,0.12
India,2009,6986.71,4193.35,65.08,57.55,35.76,32.81,3806.71,0.34
India,2001,6241.0,4873.79,86.14,56.66,40.84,13.54,1406.01,0.38
USA,2019,6485.32,28862.47,48.24,25.26,27.84,36.65,378.22,0.33
Canada,2004,3806.39,20188.22,48.14,45.53,27.36,16.31,4478.12,0.47
Germany,2018,2161.85,15034.03,14.97,24.58,34.07,26.94,386.98,0.23
UK,2012,7231.17,16133.06,38.17,72.94,38.95,13.15,4640.04,0.3
China,2010,8130.07,10760.52,77.46,32.63,33.67,15.56,2512.59,0.48
UK,2000,1472.15,20869.51,16.48,66.38,43.06,27.57,328.6,0.45
Brazil,2021,4919.61,10551.37,82.99,36.41,32.4,29.04,672.93,0.06
Australia,2014,2562.29,35053.28,61.72,63.46,27.09,18.09,2688.12,0.21
Japan,2017,1764.26,6634.66,40.78,25.46,54.51,13.57,128.15,0.38
Germany,2015,7369.82,47437.98,51.45,63.46,28.02,26.49,4579.9,0.05
China,2008,5427.16,4946.04,17.79,22.57,58.67,35.22,3991.51,0.44
Brazil,2000,2240.23,47201.31,23.49,44.36,59.5,16.04,2547.53,0.28
India,2010,3169.0,41748.1,29.34,17.95,47.87,30.75,4634.92,0.09
China,2008,9669.87,34195.25,37.71,46.95,40.08,21.58,1335.76,0.25
USA,2022,8501.93,45658.93,82.82,67.45,51.82,38.29,4274.38,0.27
UK,2010,8811.47,7391.33,36.24,62.89,54.93,12.48,4035.37,0.22
China,2012,4654.12,9227.58,49.53,13.55,48.38,11.2,2930.01,0.25
Australia,2001,6275.69,12981.55,18.77,44.45,24.08,13.73,1628.27,0.45
Russia,2013,3830.0,12618.17,67.56,69.66,20.12,33.47,2813.74,0.2
India,2005,869.35,15886.99,52.62,55.51,27.68,37.68,4788.23,0.48
Japan,2007,4070.59,28993.73,42.39,14.14,27.54,34.67,468.64,0.36
Japan,2017,5980.41,1894.54,85.51,32.79,27.3,31.53,1044.99,0.45
China,2015,2942.73,19422.49,80.71,48.96,40.39,11.73,3237.27,0.14
Russia,2020,8494.71,12696.06,61.06,22.09,40.8,16.41,3408.21,0.27
UK,2011,1595.89,30528.18,83.35,57.73,48.92,38.06,864.13,0.3
Brazil,2010,3734.58,49265.88,53.01,54.44,28.06,28.68,4041.15,0.09
Germany,2005,1336.55,26123.9,75.29,24.17,23.71,24.05,4645.99,0.27
UK,2002,4107.84,21571.42,39.8,48.53,46.64,29.57,444.33,0.44
Brazil,2013,492.65,18728.06,12.37,66.82,39.36,15.36,4872.54,0.07
Germany,2001,2798.24,39354.99,89.5,36.24,46.65,36.79,1442.0,0.34
Russia,2010,4067.28,4063.06,19.08,27.29,35.23,29.69,1578.85,0.49
Germany,2021,4833.84,48008.64,26.38,59.09,50.03,24.14,272.25,0.29
UK,2002,5482.59,21186.94,18.86,14.96,47.3,23.72,2512.16,0.19
Australia,2017,2822.41,16028.19,33.69,68.29,46.01,34.67,4776.05,0.31
China,2000,5278.11,48716.37,29.59,76.04,21.1,19.24,846.87,0.29
Brazil,2023,5139.15,46826.0,56.09,77.54,54.32,14.11,2905.47,0.1
Australia,2000,3230.16,32275.74,89.7,40.28,35.06,15.57,1408.54,0.15
Brazil,2011,8318.98,1416.12,9.46,53.62,25.42,12.43,142.27,0.35
China,2014,5501.85,37552.48,71.17,70.02,50.22,25.24,4936.37,0.32
Canada,2004,3389.47,17110.09,15.88,25.64,39.46,30.32,3595.07,0.2
Germany,2005,9478.65,19719.87,6.69,11.94,21.28,38.02,3690.54,0.49
Russia,2015,8466.61,8357.74,59.28,36.92,51.27,32.52,3331.65,0.34
Canada,2011,9827.62,26411.18,79.23,71.91,37.4,27.49,761.51,0.15
Canada,2011,6953.12,37355.35,19.99,45.36,50.2,35.92,1073.14,0.26
Japan,2002,3844.41,14014.05,34.04,47.12,50.22,36.77,1959.05,0.37
USA,2022,2880.52,46967.28,19.34,58.4,24.0,31.37,4977.56,0.35
UK,2001,6666.85,10139.47,82.05,50.22,44.53,11.69,3379.24,0.16
Australia,2006,9810.08,3779.99,27.98,13.81,34.41,18.75,2239.78,0.34
Australia,2001,6304.48,32396.01,42.8,49.26,41.86,20.09,2449.4,0.2
Australia,2020,8827.99,42541.28,81.05,55.36,23.54,39.92,4614.92,0.26
Australia,2006,3358.12,47680.08,51.99,54.91,43.53,23.92,1022.35,0.35
UK,2010,4128.84,38474.97,84.29,60.98,51.1,32.86,1638.32,0.31
Canada,2010,9072.12,10382.68,83.75,46.39,59.47,34.41,1885.83,0.37
UK,2013,7592.98,48894.23,44.24,73.0,32.81,29.6,4493.26,0.22
Australia,2002,9815.96,46012.08,54.5,42.5,26.2,10.55,3895.09,0.39
USA,2013,7770.17,8576.79,24.58,46.27,34.64,10.58,2974.39,0.06
India,2010,4540.31,28159.9,89.2,64.62,20.77,34.56,1607.9,0.13
China,2003,5357.57,27998.11,28.66,68.33,36.35,32.18,1050.9,0.49
Australia,2016,9015.1,22405.47,71.58,55.39,56.58,26.08,1687.24,0.09
Russia,2015,5561.3,49221.93,31.6,18.85,27.77,17.47,4650.79,0.35
India,2002,2628.43,3451.3,31.61,33.24,39.11,12.6,4555.62,0.46
UK,2024,4412.64,31546.84,13.83,11.41,42.9,14.93,2138.68,0.44
Russia,2009,5211.53,10662.53,52.59,30.68,27.2,27.41,1661.38,0.46
Russia,2020,1057.53,26602.89,25.81,49.92,33.2,26.37,4428.73,0.49
Brazil,2014,7463.25,39097.17,17.61,66.37,56.45,38.24,2258.84,0.21
Russia,2007,1182.6,12712.98,24.27,51.0,31.83,38.72,241.56,0.2
Australia,2017,4108.69,19971.3,26.34,12.79,45.41,27.28,1761.41,0.1
Brazil,2002,8065.76,47563.02,47.85,28.14,25.48,35.24,3056.11,0.14
Japan,2006,4728.95,38193.3,37.8,50.46,46.79,34.37,4725.72,0.34
Canada,2009,8435.95,28849.8,11.42,59.63,31.17,32.57,2151.73,0.2
Russia,2019,3484.63,11488.87,50.56,70.65,29.25,23.12,1238.62,0.2
USA,2008,9580.6,21552.62,71.96,77.74,24.97,21.68,1953.27,0.34
China,2013,2173.74,38816.04,53.81,72.43,21.87,17.92,332.44,0.1
Russia,2022,478.82,41116.88,87.84,42.71,58.71,38.11,4499.24,0.08
Japan,2013,8737.02,12608.01,13.43,62.29,36.56,35.03,215.44,0.41
Germany,2010,7546.81,33271.98,74.8,26.84,51.1,15.31,54.81,0.41
UK,2000,2396.64,5202.65,47.98,14.47,56.8,17.57,3089.96,0.22
UK,2003,9848.94,1649.01,49.34,13.85,28.16,27.44,812.26,0.32
Japan,2005,5072.57,27659.36,49.12,26.89,54.79,22.41,1515.58,0.16
Germany,2021,9515.55,11606.8,32.65,12.63,48.32,16.42,2480.37,0.22
UK,2021,5099.78,4406.15,32.59,69.52,43.12,33.73,3970.98,0.07
UK,2004,4771.56,36626.5,58.71,44.29,52.36,10.05,1968.18,0.17
UK,2002,4546.47,25149.74,8.81,66.76,24.43,20.3,4787.68,0.06
Japan,2001,3415.27,39915.71,55.05,75.79,30.54,37.88,2293.32,0.24
Canada,2002,5383.64,33365.24,66.59,79.57,25.24,32.82,4603.95,0.28
China,2008,4580.29,36625.34,35.29,75.6,55.84,22.04,2289.03,0.27
Japan,2018,463.79,15714.35,23.48,60.16,23.95,37.86,2604.94,0.2
Germany,2018,2678.31,13532.15,23.14,40.94,59.2,37.02,4792.48,0.14
Russia,2016,2209.92,30243.31,11.96,51.86,24.4,11.58,3390.76,0.25
Canada,2017,8687.61,10404.07,12.63,67.15,46.47,13.84,789.39,0.44
Canada,2010,6028.81,40862.9,19.17,72.83,46.42,21.62,3012.84,0.49
Russia,2011,7660.46,26384.55,6.63,76.95,57.25,37.88,1164.85,0.19
USA,2002,9572.58,11736.0,27.63,61.14,32.93,35.33,1582.85,0.49
Brazil,2017,6475.99,31445.83,31.04,47.8,33.28,11.43,4198.84,0.25
China,2023,9827.84,47279.27,89.59,77.79,53.85,25.37,3426.62,0.33
China,2005,3186.46,4563.69,89.29,77.1,59.14,31.61,1470.05,0.41
USA,2006,1944.05,5912.59,20.9,43.43,21.21,18.28,73.21,0.21
Brazil,2000,4092.77,42270.04,23.11,55.41,45.41,31.68,2679.35,0.14
China,2005,4760.91,5924.89,46.81,66.65,29.75,21.09,1288.35,0.17
Germany,2017,8964.08,2449.08,17.65,40.32,49.12,18.22,190.15,0.43
India,2012,5643.41,17722.56,47.84,68.06,50.91,21.78,363.24,0.47
India,2021,2992.59,23601.94,38.95,17.8,50.5,38.52,3382.59,0.11
China,2018,7452.08,28687.5,32.59,43.68,37.42,37.16,2100.71,0.36
Australia,2006,5107.74,25611.36,74.92,43.78,26.31,37.42,1349.26,0.07
China,2018,1705.11,45702.64,75.39,57.93,43.39,37.52,4404.52,0.44
Russia,2008,5810.52,38549.07,88.97,18.15,51.56,15.35,4134.18,0.44
Russia,2002,9122.81,49198.61,23.96,17.22,56.49,36.88,2357.64,0.4
Brazil,2022,8441.96,24084.54,80.5,73.04,38.11,16.37,1414.16,0.42
UK,2011,5909.42,4674.32,50.72,31.26,29.83,35.14,2560.52,0.32
Canada,2019,3833.12,47798.77,55.27,32.88,24.75,26.26,3776.99,0.12
Germany,2023,961.09,703.6,81.18,64.38,51.9,17.2,103.18,0.46
